Source,Target
Harlem Renaissance,Aaron Douglas
Social Realism,Aaron Douglas
Street Art,ABOVE
Street Art,Abraham Lishinsky
Italian Renaissance,Adam Kossowski
Sacred Art,Adam Kossowski
Dada,Adam Neate
Indian Art,Afsar Madad Naqvi
Street Art,Akay
Impressionism,Albert Henry Krehbiel
Neoclassicism,Albert Henry Krehbiel
Abstract Art,Albert Henry Krehbiel
Impressionism,Alec Monopoly
Neoclassicism,Alec Monopoly
Abstract Art,Alec Monopoly
Surrealism,Alexandre Orion
Social Realism,Alfredo de Batuc
Surrealism,Alfredo de Batuc
Impressionism,Alfredo Ramos Martinez
Modernism,Alfredo Ramos Martinez
American Indian Art,Allan Houser
Abstract Art,Alton Tobey
Realism,Alton Tobey
Comic Art,Andre
Neo-expressionism,Andre Pierre Charles
Neo-byzantine,Andrej Bicenko
Russian Realism,Andrej Bicenko
Underground Art,Andy Council
Abstract Art,Antonia Gerstacker
Impressionism,Antonia Gerstacker
Conceptual Art,Archie Rand
Color Field,Archie Rand
Street Art,Ash
Neo-Realism,Ashot Melkonian
Social Realism,August Henkel
Guerrilla Art,AVANT
Street Art,Avoid pi
Street Art,B.N.E.
Street Art,Banksy
Neo-expressionism,Jean-Michel Basquiat
Primitivism,Jean-Michel Basquiat
Abstract Art,Jean-Michel Basquiat
Guerrilla Art,Beautiful Angle
Realism,Bertram Goodman
Federal Art Project,Bertram Goodman
Street Art,Bleeps
Artivism,Bleeps
Poster Art,Blek le Rat
Comic Art,Blu
Video Art,Blu
Stencil Art,Borf
Street Art,C215
Stencil Art,Cartrain
Cubism,Cartrain
Sculpture,Cesare Stea
Federal Art Project,Cesare Stea
Comic Art,Chanoir
Harlem Renaissance,Charles Alston
Abstract Expressionism,Charles Alston
Federal Art Project,Charles Ragland Bunnell
Cubism,Charles Ragland Bunnell
Abstract Expressionism,Charles Ragland Bunnell
Stencil Art,Chico
Superflat,Chiho Aoshima
Spray Paint Art,Chor Boogie
Color Therapy,Chor Boogie
Mission School,Chris Johanson
Stencil Art,Civilian
Street Art,"Cool ""Disco"" Dan"
Street Art,Cope2
Billboard Art,Cutup
Impressionism,D. Putnam Brinley
Modern Art,D. Putnam Brinley
Street Art,Dan Witz
Color Theory,Darco
Social Realism,David Alfaro Siqueiros
Federal Art Project,David Karfunkle
WPA,David Margolis
Social Realism,Diego Rivera
illustration,Dillon Boy
Stencil Art,Dlux
Stencil Art,Dolk
Poster Art,El Bocho
Conceptual Art,El Celso
Street Art,El Teneen
Tag Art,El Xupet Negre
Subway Art,Ellis Gallagher
Printmaking,Esm-Articficial
Satirist,Esm-Articficial
Street Art,Ever
Stencil Art,Faile
Wheatpasting,Faile
Realism,Fernando Castro Pacheco
Printmaking,Fred Fowler
Social Realism,Gabriel Flores
Surrealism,Gabriel Flores
Stencil Art,Ganzeer
Social Realism,Gia Bugadze
New Media,Graffiti Research Lab
Realism,Gustaf Dalstrom
Stencil Art,Ha-Ha
Mural Art,Hans Bock
Baroque,Herb Roe
Environmental Art,I08
De Stijl,Ilya Bolotowsky
Abstract Art,Ilya Bolotowsky
Cubism,Ilya Bolotowsky
Geometric Abstract Art,Ilya Bolotowsky
New Media,Inkie
Mosaic Art,Invader
Fauvism,Ion Theodorescu-Sion
Impressionism,Ion Theodorescu-Sion
Realism,Ion Theodorescu-Sion
Divisionism,Ion Theodorescu-Sion
Academic Art,Ion Theodorescu-Sion
Art Nouveau,Ion Theodorescu-Sion
Cubism,Ion Theodorescu-Sion
Synthetism,Ion Theodorescu-Sion
Post-Impressionism,Ion Theodorescu-Sion
Symbolism,Ion Theodorescu-Sion
Lyrical Abstraction,James Brooks
Abstract Expressionism,James Brooks
WPA,James Michael Newell
Stencil Art,Jef Aerosol
Surrealism,Joan Miro
Dada,Joan Miro
Guerrilla Art,John Fekner
Harlem Renaissance,John T. Biggers
Impressionism,John White Alexander
Surrealism,Jordi Bonet
Neo-figurative,Jorge Figueroa Acosta
Social Realism,Jose Clemente Orozco
Scenography,Jose Liard
Arts and Crafts,Joseph Southall
Printmaking,Josh MacPhee
Poster Art,JR
Photorealism,JR
Modern Art,Juan Mirabal
Cubism,Juan Mirabal
Chicano,Judy Baca
Mural Art,Judy Taylor
Comic Artist,KAWS
Poster Art,Keizer
Political Art,Keizer
Art Nouveau,Kenyon Cox
Subway Art,King Robbo
Arts and Crafts,Knitta
Abstract Expressionism,Knox Martin
Mural Art,Lady Pink
Comic Artist,Louis Ferstadt
Federal Art Project,Louise Brann
Chicano,Malaquias Montoya
Installations,Mark Jenkins
Trompe l'oeil,Mark Jenkins
Street Art,Mark Miremont
Stencil Art,Meek
Street Art,Melanie Stimmell
Renaissance,Melanie Stimmell
Social Realism,Melchor Peredo
Abstract Art,Mini Graff
Comic Art,Miss Van
Wheatpasting,Morley
Street Art,Neckface
Stencil Art,Nick Walker
Guerrilla Art,Nsumi
Installations,Nsumi
Installations,Olek
Subway Art,Os Gemeos
Cubism,Paul du toit
Abstract Art,Paul du toit
Street Art,Pez
Stencil Art,Phibs
Neo-expressionism,Pierre Schwarz
Stencil Art,Pobel
Subway Art,Poster Boy
Stencil Art,Posterchild
Stencil Art,Prism
Tag Art,Priz-one
Italian Renaissance,Rainer Maria Latzke
Renaissance,Rainer Maria Latzke
Surrealism,Rainer Maria Latzke
Trompe l'oeil,Rainer Maria Latzke
WPA,Ralph (Ralf) Henricksen
Mission School,Reminisce
Baroque,Rex Whistler
Trompe l'oeil,Richard Haas
Impressionism,Rinaldo Cuneo
Modernism,Rinaldo Cuneo
Audubon,ROA
Mural Art,Robert Dafford
Street Art,Robert Del Naja
Surrealism,Roberto Cueva del Rio
Impressionism,Roberto Cueva del Rio
Billboard Art,Ron English
WPA,Ruth Egri
Calligraphy,Sadequain
Chicano,Salvador Torres
Neo-expressionism,SAMO
New Media,Sane Smith
Indian Art,Satish Gujral
Tattoo Art,Seen
Abstract Art,Seymour Fogel
Stencil Art,Shephard Fairey
Street Art,Sickboy
Underground Art,
Poster Art,Sixten
Stencil Art,Sixten
Collage Art,Smear
Neo-expressionism,
Contemporary Art,Stash Maleski
Street Art,Stik
Subway Art,Stormie Mills
Tag Art,Stormie Mills
Wheatpasting,Swoon
Cut-out,Swoon
Poster Art,Sync
Tag Art,TAKI 183
Conceptual Art,Tejn
Installations,Tejn
Stencil Art,Tejn
Installations,Tim Conlon
Mural Art,Traian Trestioreanu
Chinese Art,Tsang Tsou Choi
Chinese Art,Tyrus Wong
Underground Art,Undenk
Stencil,Vexta
Pre-Raphaelite Brotherhood,William Laurel Harris
Color Field,William Perehudoff
Mural Art,Xavier Gonzalez
